Age,5 km,6 km,4 Mile,8 km,5 Mile,10 km,12 km,15 km,10 Mile,20 km,H. Mar,25 km,30 km,Marathon,50 km,50 Mile,100 km,150 km,100 Mile,200 km
5,1186,1440,1549,1949,1961,2469,2990,3793,4100,5247,5579,6771,8296,12067,14619,25890,34391,58445,64160,85010
6,1122,1363,1465,1844,1855,2335,2828,3587,3876,4952,5262,6378,7807,11349,13749,24349,32344,54967,60342,79952
7,1068,1297,1394,1754,1766,2222,2691,3412,3687,4703,4995,6046,7395,10746,13018,23054,30624,52043,57133,75699
8,1021,1240,1334,1678,1689,2126,2574,3263,3525,4491,4768,5765,7046,10233,12398,21955,29164,49563,54410,72092
9,981,1192,1282,1613,1623,2043,2474,3136,3387,4310,4573,5524,6748,9796,11868,21017,27918,47445,52085,69011
10,947,1150,1237,1557,1567,1972,2388,3026,3267,4153,4406,5317,6492,9421,11413,20211,26848,45626,50088,66365
11,918,1115,1199,1508,1518,1910,2313,2931,3165,4019,4262,5139,6271,9097,11021,19517,25925,44059,48368,64085
12,892,1084,1165,1466,1476,1857,2249,2849,3076,3902,4137,4985,6080,8818,10682,18918,25129,42706,46882,62118
13,870,1057,1137,1430,1439,1811,2194,2779,2999,3802,4030,4852,5915,8576,10390,18400,24442,41538,45600,60419
14,851,1034,1112,1399,1408,1772,2146,2718,2933,3716,3937,4737,5774,8369,10138,17954,23850,40531,44495,58955
15,835,1014,1091,1373,1381,1739,2106,2666,2877,3642,3858,4639,5652,8190,9922,17572,23342,39668,43547,57699
16,822,998,1073,1350,1359,1710,2071,2623,2830,3580,3791,4556,5549,8038,9738,17246,22909,38932,42739,56628
17,810,984,1059,1332,1340,1687,2043,2586,2791,3527,3735,4486,5461,7910,9583,16971,22544,38311,42058,55726
18,800,972,1046,1315,1324,1666,2018,2554,2755,3481,3685,4423,5383,7795,9444,16724,22215,37754,41446,54914
19,791,960,1033,1299,1307,1646,1993,2522,2721,3435,3636,4362,5307,7683,9308,16484,21896,37212,40851,54126
20,782,950,1022,1286,1294,1628,1972,2496,2692,3397,3595,4311,5243,7590,9195,16284,21630,36759,40354,53468
21,777,944,1015,1277,1285,1617,1959,2479,2673,3372,3568,4277,5202,7529,9121,16153,21457,36464,40030,53039
22,774,940,1011,1273,1281,1612,1952,2470,2664,3360,3555,4261,5182,7499,9085,16088,21371,36318,39870,52826
23,774,940,1011,1272,1280,1611,1951,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
24,774,940,1011,1272,1280,1611,1951,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
25,774,940,1011,1272,1280,1611,1951,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
26,774,940,1011,1272,1280,1611,1951,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
27,774,940,1011,1272,1280,1611,1951,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
28,774,940,1011,1272,1280,1611,1951,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
29,775,941,1012,1273,1281,1612,1951,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
30,776,942,1014,1275,1283,1615,1953,2469,2663,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
31,778,945,1016,1278,1286,1619,1956,2471,2665,3358,3553,4259,5179,7495,9080,16080,21360,36300,39850,52800
32,780,947,1019,1282,1290,1624,1961,2476,2669,3360,3554,4259,5179,7495,9080,16080,21360,36300,39850,52800
33,783,951,1023,1287,1295,1630,1968,2483,2675,3365,3559,4261,5179,7495,9080,16080,21360,36300,39850,52800
34,787,955,1027,1293,1301,1637,1976,2492,2684,3374,3567,4268,5182,7495,9080,16080,21360,36300,39850,52800
